path,line,url
law-student/.mcp.json,17,https://mcp.courtlistener.com/
law-student/.mcp.json,23,https://mcp.descrybe.com/mcp
law-student/skills/bar-prep-questions/SKILL.md,16,https://www.ncbex.org/
law-student/skills/bar-prep-questions/SKILL.md,53,https://www.ncbex.org/
law-student/skills/bar-prep-questions/SKILL.md,53,https://www.ncbex.org/exams/nextgen
law-student/skills/bar-prep-questions/SKILL.md,53,https://www.ncbex.org/exams/mbe
law-student/skills/bar-prep-questions/SKILL.md,53,https://www.ncbex.org/exams/mee
legal-builder-hub/.mcp.json,5,https://mcp.slack.com/mcp
legal-builder-hub/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
legal-builder-hub/.mcp.json,17,https://mcp.lawve.ai/mcp
legal-builder-hub/CLAUDE.md,164,https://github.com/legalopsconsulting/lpm-skills
legal-builder-hub/references/allowlist-default.yaml,17,https://github.com/legalopsconsulting/lpm-skills
legal-builder-hub/references/allowlist-default.yaml,19,https://github.com/lawvable/awesome-legal-skills
legal-builder-hub/references/allowlist-default.yaml,20,https://github.com/lawvable/agent-skills
legal-builder-hub/skills/registry-browser/references/registries.yaml,6,https://github.com/legalopsconsulting/lpm-skills
legal-builder-hub/skills/registry-browser/references/registries.yaml,13,https://github.com/
legal-builder-hub/skills/skill-installer/references/allowlist.md,24,https://github.com/legalopsconsulting/lpm-skills
legal-builder-hub/skills/skill-installer/references/allowlist.md,25,https://github.com/your-firm/internal-skills
legal-builder-hub/skills/skill-installer/references/allowlist.md,38,https://mcp.example.com/server
legal-builder-hub/skills/skill-installer/references/freshness.md,16,https://www.ecfr.gov/current/title-16/part-312
legal-builder-hub/skills/skill-installer/references/freshness.md,17,https://www.federalregister.gov/
legal-builder-hub/skills/skill-installer/references/freshness.md,55,https://`
legal-builder-hub/skills/skill-installer/references/freshness.md,55,http://`
legal-builder-hub/skills/skill-installer/SKILL.md,350,https://`
legal-builder-hub/skills/skill-installer/SKILL.md,350,http://`
legal-clinic/.mcp.json,5,https://mcp.slack.com/mcp
legal-clinic/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
legal-clinic/.mcp.json,17,https://mcp.courtlistener.com/
legal-clinic/.mcp.json,23,https://mcp.courtroom5.com
legal-clinic/.mcp.json,29,https://mcp.descrybe.com/mcp
LICENSE,4,http://www.apache.org/licenses/
LICENSE,196,http://www.apache.org/licenses/LICENSE-2.0
litigation-legal/.mcp.json,5,https://mcp.slack.com/mcp
litigation-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
litigation-legal/.mcp.json,17,https://api.everlaw.com/v1/mcp
litigation-legal/.mcp.json,23,https://api.techgc.co/api/mcp/topcounsel
litigation-legal/.mcp.json,29,https://mcp.courtlistener.com/
litigation-legal/.mcp.json,35,https://mcp.ai.consilio.com
litigation-legal/.mcp.json,41,https://mcp.trellis.law/anthropic
managed-agent-cookbooks/diligence-grid/subagents/doc-reader.yaml,44,https://(([A-Za-z0-9-
managed-agent-cookbooks/docket-watcher/subagents/docket-reader.yaml,58,https://([A-Za-z0-9-
managed-agent-cookbooks/docket-watcher/subagents/tracker-writer.yaml,70,https://www.courtlistener.com/docket/123/doc/4/`
managed-agent-cookbooks/launch-radar/subagents/memo-writer.yaml,68,https://company.atlassian.net/browse/LAUNCH-123`
managed-agent-cookbooks/launch-radar/subagents/tracker-reader.yaml,60,https://([A-Za-z0-9-
managed-agent-cookbooks/reg-monitor/subagents/digest-writer.yaml,59,https://www.federalregister.gov/documents/...`
managed-agent-cookbooks/renewal-watcher/subagents/alert-writer.yaml,67,https://example.ironcladapp.com/records/123`
managed-agent-cookbooks/renewal-watcher/subagents/repo-reader.yaml,76,https://([A-Za-z0-9-
privacy-legal/.mcp.json,5,https://mcp.slack.com/mcp
privacy-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
privacy-legal/references/currency-watch.md,12,https://www.ftc.gov/legal-library/browse/rules/childrens-online-privacy-protection-rule-coppa
product-legal/.mcp.json,5,https://mcp.slack.com/mcp
product-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
product-legal/.mcp.json,17,https://mcp.linear.app/mcp
product-legal/.mcp.json,23,https://mcp.atlassian.com/v1/sse
product-legal/.mcp.json,29,https://mcp.asana.com/sse
QUICKSTART.md,6,https://claude.com/download
QUICKSTART.md,10,https://github.com/user-attachments/assets/51394f0a-5277-4fe2-b81c-5c5e9ac876b5
README.md,7,https://claude.com/product/cowork
README.md,7,https://claude.com/product/claude-code
README.md,7,https://docs.claude.com/en/api/managed-agents
README.md,10,https://claude.com/download
README.md,14,https://github.com/user-attachments/assets/51394f0a-5277-4fe2-b81c-5c5e9ac876b5
README.md,231,https://modelcontextprotocol.io/
README.md,337,https://marketplace.microsoft.com/en-us/product/office/wa200010453
README.md,339,https://github.com/anthropics/financial-services/tree/main/claude-for-msft-365-install
regulatory-legal/.mcp.json,5,https://mcp.slack.com/mcp
regulatory-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,22,https://www.federalregister.gov/api/v1/documents.json`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,23,https://api.regulations.gov/v4/documents`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,24,https://api.congress.gov/v3/bill`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,25,https://www.sec.gov/news/pressreleases.rss`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,26,https://www.ftc.gov/feeds/press-release.xml`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,27,https://www.consumerfinance.gov/about-us/newsroom/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,28,https://www.justice.gov/atr/news-feeds`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,29,https://www.justice.gov/news/rss`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,31,https://www.hhs.gov/ocr/newsroom/index.html`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,32,https://ofac.treasury.gov/recent-actions`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,33,https://www.bis.gov/news-updates`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,34,https://www.dol.gov/rss/releases.xml`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,35,https://www.nist.gov/news-events/cybersecurity/rss.xml`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,36,https://www.cisa.gov/news-events/cybersecurity-advisories`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,48,https://oag.ca.gov/news/feed/729/oag.ca.gov`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,49,https://cppa.ca.gov/announcements/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,50,https://ag.ny.gov/press-releases`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,51,https://www2.texasattorneygeneral.gov/feeds/feeds.php?feed=pr`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,52,https://illinoisattorneygeneral.gov/news-room/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,53,https://www.atg.wa.gov/news`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,54,https://coag.gov/press-releases/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,55,https://portal.ct.gov/ag/press-releases/press-releases`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,56,https://www.oag.state.va.us/media-center/news-releases`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,57,https://www.mass.gov/orgs/office-of-attorney-general-maura-healey/news`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,58,https://www.dfs.ny.gov/reports_and_publications/press_releases`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,66,https://www.edpb.europa.eu/news/news_en`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,67,https://ec.europa.eu/commission/presscorner/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,68,https://eur-lex.europa.eu/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,69,https://ico.org.uk/global/rss-feeds/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,70,https://www.cnil.fr/en/rss.xml`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,71,https://www.dataprotection.ie/en/news-media/latest-news`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,72,https://www.bfdi.bund.de/EN/Home/home_node.html`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,74,https://www.fca.org.uk/news/rss.xml`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,75,https://www.edps.europa.eu/press-publications/press-news_en`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,83,https://oecd.ai/en/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,84,https://www.coe.int/en/web/portal/news`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,85,https://bills.parliament.uk/rss/publicbills.rss`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,97,https://iapp.org/rss/daily-dashboard/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,98,https://fpf.org/feed/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,99,https://www.hoganlovells.com/en/rss`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,100,https://www.cov.com/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,101,https://www.wilmerhale.com/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,102,https://www.wsgr.com/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,103,https://www.lexology.com/account/rss`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,104,https://www.jdsupra.com/legal-news/rss-law-feeds.aspx`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,105,https://www.artificiallawyer.com/feed/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,106,https://www.lawsitesblog.com/feed`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,120,https://ofac.treasury.gov/recent-actions`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,121,https://www.enisa.europa.eu/news`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,122,https://www.dataprotection.ie/en/news-media/latest-news`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,123,https://cppa.ca.gov/announcements/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,125,https://www.dfs.ny.gov/reports_and_publications/press_releases`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,126,https://www.bis.gov/news-updates`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,127,https://www.hhs.gov/ocr/newsroom/`
regulatory-legal/skills/reg-feed-watcher/references/source-catalog.md,128,https://www.bfdi.bund.de/EN/`
regulatory-legal/skills/reg-feed-watcher/SKILL.md,51,https://www.federalregister.gov/api/v1/documents`
scripts/deploy-managed-agent.sh,23,https://api.anthropic.com}
scripts/deploy-managed-agent.sh,207,https://console.anthropic.com/agents/$AGENT_ID
